Year,ID,Title,Citations,Track,Domain,Level,Target,Application,Algorithm,Availability,Task,Paradigm
2021,9529946,Online Health Monitoring in Power Modules for Inverter Topologies using Isolated Parameter Acquisition,1,Verification,Electrical,Device,Power Semiconductor,Inverter ,NA,NA,Maintenance,NA
2021,9529947,Design Methodology for High Performance Electric Vehicle Power Electronics,0,Design Automation,Multi-Physics,System,Discrete,Inverter ,NA,NA,System Integration,Knowledge-based
2021,9529928,An N-port system model for multiwinding transformer based multilevel converters in DC-autotransformer configuration,0,Design Automation,Electrical,Circuit,Magnetics,Inverter ,NA,NA,Model Building,Knowledge-based
2022,9906471,ML Self-Sufficient Sustainable Energy Resiliency Management System: Outage Forecasting; Classification and Restoration with Maintenance Indicators for All Types of Power Outages,1,AI/ML Methods,Electrical,System,NA,NA,Supervised Learning,NA,Maintenance,Learning-based
2023,10412563,Dynamic Pulsed Load Mitigation in PV-Battery-Supercapacitor Systems: A Hybrid PI-NN Controller Approach,1,AI/ML Methods,Electrical,System,Discrete,Inverter ,Supervised Learning,NA,Controller Design,Learning-based
2023,10412603,An Introduction to Power Electronics Design Methodology,1,Design Automation,Electrical,System,Discrete,NA,NA,NA,Circuit Concept,Knowledge-based
2023,10412480,Automated Design and Optimization of Planar Transformers for High-Frequency Applications,0,Design Automation,Electrical,Device,Magnetics,NA,Genetic Algorithm,NA,Component Selection,Optimization
2023,10412465,Virtual Prototyping of PLCs for Fault Prediction and Optimization,0,Cybersecurity,NA,System,NA,NA,NA,NA,NA,NA
2023,10412473,Fuzzing for Power Grids: A Comparative Study of Existing Frameworks and a New Method for Detecting Silent Crashes in Control Devices,0,Cybersecurity,NA,System,Grid,NA,NA,NA,NA,NA
2023,10412485,Towards Cloud-based Infrastructure for Post-Quantum Cryptography Side-channel Attack Analysis,0,Cybersecurity,NA,System,NA,NA,NA,NA,NA,NA
2023,10412423,Machine Learning Based Non-Intrusive Inspection Technique to Quantify GaN HEMT Characteristics,0,AI/ML Methods,Electrical,Device,Power Semiconductor,NA,Unsupervised Learning,NA,Maintenance,Learning-based
2021,9529939,A Multi-Objective Genetic Algorithm Methodology for the Design of Standalone Energy Systems,3,Design Automation,Electrical,System,Discrete,NA,Genetic Algorithm,NA,System Integration,Optimization
2021,9529941,Design of a Bidirectional DC/DC Converter for Energy Storage in Electric Aircraft,2,Design Automation,Electrical,Circuit,Discrete,Inverter ,NA,NA,Component Selection,Knowledge-based
2021,9529951,Efficient Design and Optimization of Large DC Distribution Architectures Using Descent Based Methods,0,Design Automation,Electrical,System,Discrete,NA,Gradient-based,NA,System Integration,Optimization
2021,9529952,Full Analytical Topology-Device Selection and Multi-objective Optimization of a 27 kVA Aircraft Inverter,0,Design Automation,Electrical,Circuit,Discrete,Inverter ,NA,NA,Circuit Concept,Optimization
